0.784,0.938,0.747,0.742,0.882,0.935,Guerrero
0.727,0.615,0.726,0.957,0.817,0.935,Duelista
0.466,0.969,0.905,0.269,0.419,0.0,Mago
0.705,0.573,0.095,0.0,0.806,0.462,Guerrero
0.511,0.938,0.811,0.226,0.613,0.495,Mago
1.0,0.219,0.0,0.957,0.903,0.978,Guerrero
0.352,0.031,0.274,0.806,0.0,0.86,Duelista
0.75,0.781,0.937,0.71,0.29,0.118,Mago
0.591,1.0,0.926,0.29,0.086,0.462,Mago
0.0,0.0,0.168,0.946,0.366,1.0,Duelista
0.83,0.656,0.147,0.118,0.817,0.344,Guerrero
0.807,0.094,0.558,0.022,0.914,0.753,Guerrero
0.114,0.917,0.926,0.29,0.57,0.204,Mago
0.216,0.969,1.0,0.419,0.323,0.882,Mago
0.886,0.885,0.295,0.0,1.0,0.731,Guerrero
0.045,0.156,0.116,1.0,0.129,0.925,Duelista
0.977,0.042,0.8,0.086,0.849,0.548,Guerrero
1.0,0.417,0.653,0.0,0.871,0.376,Guerrero
0.091,0.521,0.253,0.946,0.398,0.935,Duelista
0.239,0.74,0.389,0.892,0.14,0.849,Duelista
0.761,0.552,0.074,0.312,0.892,0.215,Guerrero
